Blog	here	want	how	re	best	and	much	life	things	had	has	right	old	people	for	support	week	time	love	data	so	years	didn	internet	one	take	going	where	many	s	being	around	world	her	with	am	an	as	at	tv	to	small	past	more	company	its	always	found	really	major	self	also	see	read	using	d	be	by	into	up	us	ago	video	let	great	next	this	could	should	means	ve	site	off	become	does	told	work	after	then	them	they	another	last	do	we	com	the	night	post	available	way	was	change	or	live	can	still	not	now	year	that	than	only	between	these	media	real	t	your	lot	trying	you	since	very	family	a	help	put	during	both	look	while	game	some	doesn	youtube	go	facebook	need	she	i	well	twitter	home	he	even	new	ever	never	before	better	went	side	content	isn	don	m	said	three	say	is	it	in	if	make	left	just	down	me	did	making	may	talk	thing	think	first	long	little	were	show	get	those	according	different	same	money	again	two	through	good	most	find	big	google	often	back	later	ll	day	have	thought	latest	like	about	but	every	would	my	end	over	writing	each	got	free	days	top	too	took	full	news	games	been	no	when	today	place	any	ways	come	without	blog	on	of	there	idea	all	list	design	what	version	might	used	feel	story	store	nothing	part	his	him	are	called	apple	app	use	from	few	something	our	out	their	which	who	why	will	other	know	because	getting	own	made	book
Search Engine Roundtable	3	0	3	0	0	9	0	0	0	1	3	1	0	1	10	1	0	0	0	0	1	0	0	1	0	0	0	1	0	3	0	1	2	0	0	1	1	1	4	0	10	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	4	0	0	1	2	0	0	5	0	0	0	0	4	0	0	0	0	0	0	1	0	4	0	0	2	1	1	25	0	0	3	0	3	1	1	0	1	0	2	3	0	3	0	0	0	0	0	0	2	1	1	0	8	0	0	0	14	0	0	0	1	1	0	0	0	1	0	0	0	1	0	2	1	3	1	2	2	6	0	1	0	0	0	0	4	0	1	0	4	0	2	8	5	10	2	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	3	0	0	28	0	0	0	0	0	4	0	0	1	1	0	0	0	2	2	0	0	0	0	0	1	0	0	0	1	0	0	0	4	2	3	0	0	0	0	0	0	6	10	2	0	0	0	2	3	3	0	0	0	0	0	0	0	0	0	3	0	0	0	5	4	0	0	0	2	0	1	0	0	2	1	0	1	0	0	0	0
Copyblogger	2	3	6	3	0	20	0	1	3	0	3	0	0	1	13	0	8	0	0	0	2	1	0	2	3	1	1	0	0	10	2	0	0	1	1	1	5	6	5	0	26	0	0	10	0	0	0	0	1	0	0	0	0	11	1	0	1	0	0	1	2	1	0	0	2	0	11	0	0	0	5	0	0	0	0	1	1	0	2	0	0	1	2	5	10	0	39	0	11	0	1	5	0	2	1	0	0	0	0	3	7	0	0	0	1	0	1	10	7	2	0	15	1	0	0	28	0	0	0	0	0	1	0	3	0	0	2	0	0	0	8	2	0	0	0	1	0	2	2	1	0	0	0	5	3	5	1	0	1	0	7	9	6	0	2	0	1	0	0	0	0	0	2	3	1	12	0	2	0	0	1	3	0	0	0	1	0	2	0	1	2	3	0	0	1	0	0	1	0	3	2	0	4	5	3	0	0	2	0	2	7	0	2	1	1	0	0	0	0	0	0	1	0	5	2	0	1	0	1	0	0	21	13	2	2	3	0	2	3	0	0	2	1	0	0	0	2	0	0	1	0	0	0	0	2	0	1	0	0	1	0	4	3	1	2	1	1	0	0	0	0
Joi Ito's Web	0	0	0	0	0	32	0	0	1	2	1	0	0	1	9	0	0	0	0	0	2	3	0	1	1	0	0	0	3	5	1	1	0	3	23	0	0	3	5	0	11	0	0	2	0	0	0	1	0	0	0	1	1	1	0	2	2	1	0	0	2	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	2	2	5	0	21	0	0	2	0	5	0	3	4	0	0	0	0	2	4	0	1	0	0	5	0	0	0	0	0	0	0	0	0	26	0	0	1	2	0	2	0	1	0	0	0	4	0	4	14	0	0	1	0	0	4	0	0	0	0	0	0	1	0	0	2	0	0	0	4	3	10	2	0	0	0	1	1	0	0	0	3	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	3	0	0	0	9	0	1	0	9	0	3	0	1	1	0	0	0	0	1	0	0	0	2	0	2	0	0	0	0	0	0	0	5	9	1	1	0	0	0	2	0	0	0	0	0	2	0	0	2	1	0	1	0	0	0	3	1	0	2	2	0	0	0	0	0	2	2	1	0	1	0	9
Engadget RSS Feed	1	0	1	4	2	36	1	0	0	1	8	0	2	1	12	0	0	4	0	1	1	2	0	3	2	0	0	1	0	25	0	2	1	0	10	1	5	7	10	4	40	0	1	3	1	8	0	0	1	2	1	1	0	0	1	2	5	6	1	4	2	0	1	2	0	3	3	1	0	1	0	0	0	0	0	0	0	1	1	3	5	1	2	1	1	0	59	0	0	1	1	1	0	4	0	1	2	2	1	5	12	2	1	1	1	2	0	4	5	1	1	15	2	1	1	20	1	1	0	1	2	0	3	4	1	2	2	3	0	0	1	1	0	2	0	0	5	2	1	2	1	0	0	3	0	0	3	0	0	0	10	14	13	4	1	0	1	1	0	0	0	4	0	0	0	0	2	0	1	0	2	3	1	0	0	0	0	4	1	1	3	3	0	1	1	4	1	2	1	7	0	1	3	4	7	1	4	0	2	0	0	0	0	0	0	0	0	0	0	0	2	9	2	1	3	0	0	1	0	2	0	12	32	8	0	2	0	0	3	0	5	1	1	0	2	0	1	2	0	13	0	0	2	0	4	2	0	2	4	3	1	1	0	8	0	0	0	3	0	0	0
mezzoblue	1	0	2	1	0	4	1	0	0	0	1	1	1	0	2	3	0	0	0	0	1	3	1	1	2	1	0	1	0	6	1	0	0	0	5	0	1	4	0	0	9	0	3	0	0	1	0	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	0	0	0	4	0	2	1	6	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	18	0	0	0	2	1	0	1	0	1	1	2	1	0	6	0	0	0	1	0	0	4	0	1	0	6	0	0	1	19	0	0	0	0	0	1	0	1	1	0	0	0	0	0	12	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	1	0	0	0	3	6	2	2	2	0	1	0	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	2	0	0	1	4	0	0	3	0	4	0	0	1	2	0	0	1	0	0	1	0	3	1	2	2	0	1	0	2	0	0	6	10	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	1	2	0	1	0	0	1	0	0	0	0	1	0	0
Eschaton	1	2	1	3	0	44	2	0	2	7	5	2	0	10	9	0	0	5	0	0	6	0	1	3	4	1	3	1	1	14	4	0	0	1	16	2	9	5	9	0	57	0	0	2	0	2	3	0	1	0	3	1	1	2	0	3	16	4	1	6	3	0	0	0	0	1	17	2	3	2	1	0	1	0	0	7	2	3	4	6	8	1	0	5	8	0	85	5	0	0	2	18	2	8	0	2	6	15	1	1	46	3	1	3	2	3	1	18	3	1	2	16	0	2	0	40	1	2	0	1	2	1	1	6	0	0	0	0	1	2	41	4	0	0	14	4	2	1	2	1	2	0	3	0	0	8	5	10	1	3	21	21	18	9	3	0	8	1	8	2	0	0	1	2	7	0	0	1	3	3	4	2	2	2	4	0	1	1	0	3	6	1	2	0	0	4	0	1	2	8	2	0	6	8	17	1	7	4	0	3	0	0	0	0	1	1	1	1	0	2	0	2	6	3	1	0	2	1	1	0	2	13	36	5	0	7	0	0	7	3	0	0	0	3	0	2	1	8	6	4	1	0	0	3	4	1	0	1	5	5	5	9	3	7	6	1	1	0	4	2	1
Slashdot	4	0	1	2	1	84	1	3	1	5	12	0	1	8	28	2	1	7	0	5	5	6	4	2	3	2	2	0	4	46	4	5	2	0	21	1	14	15	35	0	71	1	2	24	6	5	1	3	1	3	2	4	4	16	4	0	12	21	4	5	1	1	1	0	0	1	23	1	0	0	2	0	2	0	2	2	2	9	0	7	19	5	1	4	4	0	185	3	1	0	2	19	2	15	1	6	6	8	3	7	46	6	8	2	7	2	1	11	4	1	0	9	3	2	0	78	3	0	3	4	3	6	0	7	0	0	0	6	0	0	11	3	0	3	4	2	12	1	4	1	0	5	0	3	1	1	0	17	6	4	19	38	48	7	4	0	6	2	3	4	1	8	0	2	1	4	0	0	16	5	4	5	4	9	5	0	2	4	2	0	5	0	1	3	2	3	2	3	2	15	3	0	5	6	16	2	1	5	4	6	1	0	1	0	0	4	1	1	0	2	0	8	1	7	0	2	2	1	0	5	1	41	83	0	0	4	2	0	8	2	2	0	3	15	0	0	0	3	1	15	2	4	0	4	16	2	0	1	1	10	15	5	0	14	5	0	2	1	0	7	0
Gothamist	4	0	4	2	5	79	2	2	3	5	8	2	12	12	26	1	3	5	2	0	5	3	0	2	8	1	0	1	2	39	3	1	1	4	19	0	8	15	14	0	56	0	0	47	1	3	2	0	1	2	0	6	2	0	1	0	3	5	3	10	4	1	1	1	3	1	12	1	1	0	1	0	2	0	0	0	1	9	1	2	3	0	11	5	9	0	131	7	1	0	0	21	1	3	1	6	3	1	5	17	20	7	2	1	1	1	0	5	5	0	0	11	2	2	0	59	0	0	2	0	0	1	0	7	0	3	0	3	2	2	5	1	3	2	11	0	22	4	1	1	0	1	13	0	0	1	0	1	2	2	12	14	47	2	3	1	7	8	1	0	1	0	1	0	0	3	1	1	7	2	7	1	3	0	0	2	4	4	1	2	5	0	0	0	0	2	2	0	3	4	0	1	4	5	6	1	1	2	2	8	0	0	1	0	5	3	2	1	0	0	0	1	1	7	3	1	1	0	1	0	0	39	57	3	0	4	0	1	2	0	0	4	0	2	3	0	2	11	2	8	2	4	1	2	11	1	0	4	5	5	4	12	0	2	2	0	5	0	2	2	0
BuzzMachine	4	4	2	0	0	39	0	0	0	3	0	3	0	1	12	0	0	0	0	0	4	4	2	0	1	0	0	0	2	8	0	0	0	2	8	2	5	6	5	1	34	1	0	1	0	2	1	0	1	0	0	0	1	0	0	0	3	5	1	2	1	0	0	0	0	0	8	2	0	0	2	0	0	0	0	0	0	0	0	2	5	1	0	4	9	0	61	0	16	0	0	2	4	0	0	4	2	2	4	0	10	0	1	0	2	3	3	6	0	0	0	2	1	0	0	23	3	0	0	0	0	2	0	0	0	0	0	11	0	3	19	1	1	0	5	0	4	0	0	1	3	0	2	1	3	0	1	4	0	2	15	10	16	0	2	1	1	1	3	0	1	0	0	0	0	17	1	0	1	1	0	0	0	0	0	0	2	0	1	0	1	0	1	1	0	1	3	2	1	2	0	1	0	6	2	0	1	7	1	3	0	0	1	0	0	0	1	0	0	18	0	1	0	1	0	0	0	2	0	0	0	19	19	2	0	2	0	0	7	0	1	0	0	0	0	1	0	1	1	5	1	1	0	0	7	1	0	8	0	0	0	0	0	4	0	1	1	0	0	0	0
ongoing by Tim Bray	5	0	4	13	0	31	0	1	0	3	3	1	1	2	10	0	0	1	3	0	13	3	0	0	7	0	0	1	0	40	0	3	3	0	14	0	10	2	10	0	35	0	0	1	0	1	0	2	0	0	3	0	2	2	0	0	18	9	0	5	5	0	0	1	2	0	4	0	3	1	3	0	0	0	1	0	5	2	4	2	1	0	0	4	5	5	44	3	0	0	1	2	0	4	2	5	1	5	0	0	16	0	0	0	1	0	0	10	2	0	0	11	2	0	0	47	0	0	0	0	0	0	2	3	1	0	4	0	1	3	47	1	0	0	0	2	1	0	0	0	1	1	2	0	1	3	5	1	1	1	16	20	24	5	3	1	2	0	4	0	0	0	0	2	5	2	1	0	1	1	4	1	0	0	0	0	1	2	0	4	6	0	3	2	0	1	0	3	4	2	2	0	4	3	6	0	1	7	1	2	0	0	4	0	0	1	1	2	2	0	0	4	3	2	0	1	4	0	4	0	0	14	23	6	0	2	0	0	3	0	4	1	0	0	0	0	2	1	1	9	0	0	1	2	2	3	0	3	4	1	7	3	2	1	0	0	0	0	1	0	4
The Viral Garden	25	34	60	4	7	322	6	2	6	40	13	7	2	68	115	2	5	26	2	0	62	6	14	0	40	7	10	18	25	101	21	7	4	5	76	25	43	88	59	1	405	5	2	64	13	11	6	10	10	0	4	10	22	10	30	5	78	24	9	23	16	5	0	8	13	9	92	8	16	5	20	12	5	10	5	3	17	8	23	50	90	9	12	40	48	22	430	3	43	0	27	94	3	38	3	42	14	23	19	19	249	10	16	2	25	123	3	86	70	14	7	172	3	23	0	274	10	4	5	6	2	8	1	17	2	0	14	14	8	2	340	12	61	0	17	19	21	3	10	11	10	7	1	15	6	15	18	13	3	6	106	127	145	61	20	10	21	2	57	13	4	12	1	17	32	23	8	3	36	5	21	12	2	3	16	3	3	8	4	17	23	9	12	0	9	20	5	17	17	61	11	2	27	48	80	10	31	68	5	15	5	5	10	6	10	4	6	10	3	1	0	11	19	38	4	3	8	6	8	2	48	101	201	37	18	34	12	0	44	1	5	1	2	2	1	2	7	8	3	104	5	1	0	20	44	26	9	7	27	72	19	16	21	47	19	22	38	6	24	8	0
SpikedHumor - Today's Videos and Pictures	102	1	5	2	6	39	0	2	1	5	8	0	2	3	18	1	0	4	1	0	2	2	0	0	6	1	0	0	2	29	1	4	1	0	14	2	11	1	15	2	138	0	0	4	0	7	0	2	1	2	0	3	4	0	4	1	1	108	2	13	2	2	15	2	1	0	16	1	1	1	2	1	3	0	2	0	2	3	2	3	0	3	4	2	9	6	209	1	3	0	2	4	1	3	2	5	2	8	0	0	7	1	0	2	1	0	4	6	6	0	0	30	1	0	2	53	0	3	0	0	5	3	1	9	1	5	2	0	1	3	19	0	0	0	7	5	7	3	1	2	0	2	2	0	0	3	1	3	0	1	27	13	28	1	2	2	12	3	5	2	3	1	2	0	2	2	2	1	0	5	4	2	1	0	0	1	1	0	0	2	2	0	1	1	0	2	0	0	1	6	0	0	5	9	8	3	2	8	3	0	0	0	1	1	5	2	2	0	2	2	0	3	1	4	0	0	2	0	0	0	0	24	51	1	0	14	1	0	5	0	2	0	3	0	1	0	7	9	1	6	1	5	3	0	20	1	2	1	1	3	0	3	4	5	2	4	3	0	0	0	0
The Official Google Blog	8	5	37	36	7	331	7	2	5	10	13	14	3	18	132	18	8	29	5	17	15	9	0	1	23	11	3	11	22	91	7	17	15	5	112	2	32	48	35	4	377	12	1	51	5	14	5	3	2	0	2	21	19	0	25	10	45	37	16	32	12	6	3	5	2	5	46	8	4	5	11	4	6	7	2	1	23	8	5	22	33	2	12	17	85	2	490	1	7	7	7	33	2	40	2	52	4	18	20	14	79	10	10	2	15	7	4	18	73	1	3	132	4	5	4	228	26	2	6	3	3	8	14	11	1	1	8	1	18	1	69	4	1	8	3	9	38	3	3	8	6	2	5	2	2	9	12	6	5	3	62	78	217	20	17	4	17	7	19	7	3	8	5	1	6	10	6	2	13	8	30	7	3	9	6	0	1	18	14	4	19	16	5	120	1	5	2	14	22	39	1	5	35	36	28	9	9	26	4	11	3	7	6	7	3	13	2	2	1	20	6	4	3	26	9	5	8	6	3	6	1	110	182	16	2	29	4	3	30	3	11	5	1	4	7	0	14	9	1	46	1	4	15	11	44	10	7	35	21	41	12	15	5	19	13	6	2	1	8	5	4
Neil Gaiman's Journal	37	16	20	12	7	615	23	8	49	42	20	10	11	44	146	4	7	34	21	0	61	22	11	5	42	11	27	23	15	163	8	7	16	12	82	20	39	52	55	8	377	6	2	33	1	5	5	6	23	1	2	11	19	27	3	23	104	71	14	36	22	28	7	8	2	11	80	21	12	7	31	0	10	2	6	5	22	12	30	43	48	10	21	40	53	28	660	11	6	6	8	110	5	62	4	44	11	61	28	43	153	12	22	7	14	4	2	53	25	13	6	178	5	17	7	320	10	17	4	5	8	10	0	35	3	2	23	3	13	11	434	9	3	4	50	30	40	9	12	18	6	21	4	1	8	12	61	15	8	2	142	222	202	62	24	6	22	4	64	20	7	9	5	20	7	21	11	9	22	6	33	5	1	8	9	18	5	23	9	24	9	14	6	2	2	23	6	20	13	66	8	1	42	46	47	3	38	81	2	21	24	8	23	4	23	0	19	9	1	2	1	27	11	24	3	6	12	2	5	5	13	128	302	58	6	49	1	4	36	3	4	3	7	8	0	5	6	31	18	65	6	1	1	0	62	13	22	8	54	19	31	48	4	58	17	11	34	8	8	14	64
Signal v. Noise - Medium	11	13	33	49	5	244	5	7	32	9	12	12	1	39	75	3	7	29	0	3	20	18	10	2	61	18	10	24	14	121	6	8	8	22	53	0	47	51	33	2	365	7	6	34	30	5	8	1	6	2	1	9	17	2	5	20	51	27	17	28	13	5	3	4	3	7	53	18	12	3	21	0	8	5	4	3	34	10	13	20	61	3	1	67	96	6	375	2	1	2	9	51	12	59	2	59	3	37	23	4	107	5	16	3	12	4	11	67	83	4	10	218	5	4	5	247	14	5	8	2	4	5	0	17	7	8	8	0	13	14	75	6	9	4	5	14	10	3	8	5	17	2	4	0	7	16	4	3	7	11	79	154	133	54	30	6	42	6	18	10	5	6	3	12	17	14	4	6	12	5	18	17	0	4	2	3	1	6	6	9	20	7	8	0	7	7	3	18	5	46	3	4	30	41	46	10	9	24	3	10	2	10	3	4	4	8	14	4	3	2	0	13	13	39	7	6	13	10	6	2	0	105	167	14	4	26	16	9	74	3	9	3	9	16	1	3	6	2	0	50	0	0	1	5	31	6	17	40	27	25	5	21	6	16	10	10	8	7	10	5	0
456 Berea Street	2	1	4	0	1	19	0	0	1	1	3	0	0	3	8	1	0	0	0	5	6	1	1	0	3	1	1	1	4	9	2	0	0	0	7	0	4	5	4	0	42	2	0	2	0	7	1	1	3	0	0	1	4	10	3	3	6	3	1	2	0	2	0	0	1	0	4	1	0	1	3	2	0	0	0	0	1	3	1	2	1	0	0	5	2	0	48	0	4	0	1	6	1	9	0	6	0	4	1	0	32	6	1	0	1	0	0	11	1	1	1	8	2	1	0	25	2	0	0	1	6	2	0	5	1	0	1	0	3	0	30	4	0	0	0	3	0	2	1	2	0	0	0	1	3	4	0	0	1	0	18	12	31	4	5	0	1	4	2	0	2	5	0	0	3	0	1	1	3	0	2	1	1	5	1	0	1	1	1	1	3	1	0	0	2	0	0	0	0	8	2	0	3	2	9	2	0	3	0	4	1	2	0	0	0	2	2	0	12	1	0	3	2	7	0	0	3	2	1	1	0	10	22	6	0	3	1	2	2	0	0	2	0	0	0	0	1	0	0	6	0	0	0	9	4	0	0	0	1	3	4	1	2	5	0	0	1	1	1	0	0
WIL WHEATON dot NET	5	14	7	3	3	165	10	3	9	7	10	10	1	21	37	1	3	6	6	0	36	9	10	0	10	7	7	2	0	49	5	3	4	8	22	19	9	31	23	0	139	2	0	9	0	7	4	0	6	1	1	3	10	4	2	1	13	7	16	19	3	7	0	3	8	5	35	8	6	2	9	0	3	0	2	2	8	6	1	17	17	1	4	20	22	0	188	6	1	0	16	41	1	22	1	20	2	29	4	2	104	5	3	0	5	0	3	41	15	10	2	53	2	5	0	111	1	3	0	0	3	5	4	11	2	2	7	0	3	3	219	0	2	5	18	6	3	1	6	5	3	5	1	0	5	10	23	4	2	3	58	101	63	12	6	3	20	2	50	7	1	1	1	10	4	11	3	5	9	9	12	6	0	2	0	2	3	4	1	4	2	2	6	0	2	6	1	8	3	19	2	2	33	25	37	2	10	43	3	5	7	3	4	0	2	1	4	4	1	7	5	12	4	21	4	2	5	0	5	1	1	34	114	9	4	11	0	0	15	0	0	0	8	11	0	4	3	8	10	28	1	0	0	1	11	1	5	7	21	16	9	31	3	11	4	12	21	1	5	8	2
